"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: intKey","Param: num","Param: sequential","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,3320.687899,NaN,"ms/op",true,1000000,true,false,2026,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,3669.349345,NaN,"ms/op",true,1000000,true,false,2027,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,4523.491730,NaN,"ms/op",true,1000000,true,false,4080,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,3929.781835,NaN,"ms/op",true,1000000,true,false,4081,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,6573.930021,NaN,"ms/op",true,1000000,true,false,8176,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,5878.060400,NaN,"ms/op",true,1000000,true,false,8177,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,9736.486540,NaN,"ms/op",true,1000000,true,false,16368,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,9610.884315,NaN,"ms/op",true,1000000,true,false,16369,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,4522.562530,NaN,"ms/op",true,1000000,false,false,2026,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,4819.166120,NaN,"ms/op",true,1000000,false,false,2027,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,5809.034050,NaN,"ms/op",true,1000000,false,false,4080,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,6592.090624,NaN,"ms/op",true,1000000,false,false,4081,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,7635.727036,NaN,"ms/op",true,1000000,false,false,8176,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,8279.328717,NaN,"ms/op",true,1000000,false,false,8177,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,12528.411934,NaN,"ms/op",true,1000000,false,false,16368,
"org.lmdbjava.bench.LevelDb.readKey","ss",1,1,11947.648529,NaN,"ms/op",true,1000000,false,false,16369,
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,242.883157,NaN,"ms/op",true,1000000,true,false,2026,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,143.778437,NaN,"ms/op",true,1000000,true,false,2027,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,132.141514,NaN,"ms/op",true,1000000,true,false,4080,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,165.201382,NaN,"ms/op",true,1000000,true,false,4081,true
