"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: intKey","Param: num","Param: sequential","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,130.386125,NaN,"ms/op",true,1000000,true,false,8176,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,211.234800,NaN,"ms/op",true,1000000,true,false,8177,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,127.167760,NaN,"ms/op",true,1000000,true,false,16368,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,126.851704,NaN,"ms/op",true,1000000,true,false,16369,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,716.677743,NaN,"ms/op",true,1000000,false,false,2026,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,625.865228,NaN,"ms/op",true,1000000,false,false,2027,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,626.883095,NaN,"ms/op",true,1000000,false,false,4080,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,607.859919,NaN,"ms/op",true,1000000,false,false,4081,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,546.603167,NaN,"ms/op",true,1000000,false,false,8176,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,540.334108,NaN,"ms/op",true,1000000,false,false,8177,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,522.319208,NaN,"ms/op",true,1000000,false,false,16368,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","ss",1,1,519.030086,NaN,"ms/op",true,1000000,false,false,16369,true
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,2121.159364,NaN,"ms/op",true,1000000,true,false,2026,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,2032.891897,NaN,"ms/op",true,1000000,true,false,2027,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,2556.679372,NaN,"ms/op",true,1000000,true,false,4080,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,2691.956912,NaN,"ms/op",true,1000000,true,false,4081,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,3896.111318,NaN,"ms/op",true,1000000,true,false,8176,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,3913.561830,NaN,"ms/op",true,1000000,true,false,8177,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,5010.765698,NaN,"ms/op",true,1000000,true,false,16368,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,5028.646976,NaN,"ms/op",true,1000000,true,false,16369,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,2476.211609,NaN,"ms/op",true,1000000,false,false,2026,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,3869.508923,NaN,"ms/op",true,1000000,false,false,2027,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,3546.128410,NaN,"ms/op",true,1000000,false,false,4080,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,3770.821505,NaN,"ms/op",true,1000000,false,false,4081,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,5150.960611,NaN,"ms/op",true,1000000,false,false,8176,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,4575.592445,NaN,"ms/op",true,1000000,false,false,8177,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,6547.570991,NaN,"ms/op",true,1000000,false,false,16368,
"org.lmdbjava.bench.RocksDb.readKey","ss",1,1,5523.551611,NaN,"ms/op",true,1000000,false,false,16369,
