"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: batchSize","Param: forceSafe","Param: intKey","Param: metaSync","Param: num","Param: sequential","Param: sync","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,150,61.485438,2.841901,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,244,37.502170,1.559758,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,141,65.782341,3.770884,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,214,43.376563,1.930933,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,137,67.849851,3.295854,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,219,42.019349,1.763529,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,124,75.032378,4.331480,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,134,70.499129,4.020357,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,96,97.094315,5.665699,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,126,73.444531,4.341578,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,89,106.239011,8.394041,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,55,165.403331,13.726664,"ms/op",,,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,16,807.075840,81.868451,"ms/op",,,true,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,27,387.740103,41.395851,"ms/op",,,false,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,9,1288.117362,219.111628,"ms/op",,,false,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,92,103.874560,7.277380,"ms/op",,false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,79,120.100112,7.418335,"ms/op",,false,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,62,150.200056,12.741343,"ms/op",,false,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,56,172.317550,13.286994,"ms/op",,false,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,88,108.204404,6.524001,"ms/op",,false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,18,634.796260,46.780663,"ms/op",,false,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,29,359.281911,33.049998,"ms/op",,false,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,13,1038.816177,147.477412,"ms/op",,false,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,252,36.473645,1.517935,"ms/op",,false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,130,72.386528,3.220235,"ms/op",,false,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,239,38.473608,1.786508,"ms/op",,false,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,145,63.825284,3.029245,"ms/op",,false,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,198,46.572265,2.567460,"ms/op",,false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,142,66.459042,2.890659,"ms/op",,false,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,207,44.351092,2.182081,"ms/op",,false,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,115,81.325047,4.359440,"ms/op",,false,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,134,68.739928,3.766896,"ms/op",,false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,93,100.574505,6.688604,"ms/op",,false,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,123,75.045647,4.102448,"ms/op",,false,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,85,112.667949,7.050381,"ms/op",,false,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,62,144.026987,10.279423,"ms/op",,,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,13,896.451820,109.398904,"ms/op",,,true,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,28,368.611913,30.287263,"ms/op",,,false,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,9,1215.649109,172.772146,"ms/op",,,false,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,99,95.412472,4.632144,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,75,129.329616,9.878796,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,80,120.828723,6.798742,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,54,177.930240,13.987564,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,92,102.073745,6.304648,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,18,679.652011,95.652299,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,27,382.807912,43.223056,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,10,1154.796749,186.559924,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,288,31.765276,1.273268,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,155,59.146874,2.867722,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,285,31.927989,1.181295,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,163,57.157846,2.255716,"ms/op",,,false,,1000000,false,,false,100,true
