"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: forceSafe","Param: intKey","Param: metaSync","Param: num","Param: sequential","Param: sync","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.LmdbJavaAgrona.readCrc","sample",1,74,126.054068,11.073030,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readCrc","sample",1,67,142.819573,8.502487,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","sample",1,89,105.290579,5.060746,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","sample",1,93,101.293287,5.420109,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,265,34.461178,1.269171,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,273,33.627170,1.102945,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,222,41.790418,1.651487,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,221,41.555162,1.596308,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,132,71.049961,3.856345,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,127,73.425606,3.861908,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,58,152.737298,13.315701,"ms/op",,true,true,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,43,215.994463,20.180896,"ms/op",,true,true,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,55,161.959713,12.604797,"ms/op",,true,true,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,48,188.612608,15.583888,"ms/op",,true,true,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,61,142.327002,9.983305,"ms/op",,true,false,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,47,196.708396,16.671342,"ms/op",,true,false,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,56,156.415707,13.059689,"ms/op",,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,44,205.300457,16.834152,"ms/op",,true,false,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,69,135.154228,10.459148,"ms/op",true,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,77,123.233214,8.100643,"ms/op",true,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,90,103.712905,7.014880,"ms/op",false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,100,94.935450,5.446328,"ms/op",false,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,69,139.568885,9.331084,"ms/op",true,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,63,150.064957,10.406302,"ms/op",true,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,86,111.427965,6.206020,"ms/op",false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,87,106.935167,7.236854,"ms/op",false,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,164,56.964770,2.614067,"ms/op",true,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,153,60.919781,3.546613,"ms/op",true,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,260,35.131203,1.294086,"ms/op",false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,273,33.423120,0.907761,"ms/op",false,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,148,62.230417,2.336044,"ms/op",true,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,134,69.897078,3.631319,"ms/op",true,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,212,43.113414,1.748817,"ms/op",false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,196,46.572356,1.690523,"ms/op",false,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,96,97.808384,5.964932,"ms/op",true,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,101,94.486041,6.753501,"ms/op",true,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,123,76.555106,4.676032,"ms/op",false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,130,72.019023,4.138897,"ms/op",false,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,55,160.286757,13.784552,"ms/op",,true,true,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,47,193.345144,11.048103,"ms/op",,true,true,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,56,151.568384,12.285796,"ms/op",,true,true,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,44,204.764253,16.617865,"ms/op",,true,true,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,53,161.851662,15.327705,"ms/op",,true,false,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,42,214.552381,18.600555,"ms/op",,true,false,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,51,166.014253,14.914768,"ms/op",,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,45,199.794506,14.761533,"ms/op",,true,false,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,66,142.578533,10.135689,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,97,97.976996,5.791940,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,86,110.665919,7.268458,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,86,111.738880,6.680802,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,295,31.038627,1.224101,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,327,27.976256,0.918797,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,198,46.410245,1.959057,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,204,44.671137,1.861328,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,129,71.424587,4.402385,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,143,65.012170,3.840028,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJni.write","sample",1,58,156.868326,16.061040,"ms/op",,true,true,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,49,188.770429,14.700496,"ms/op",,true,true,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJni.write","sample",1,59,147.891426,11.179794,"ms/op",,true,true,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,46,204.557802,17.539919,"ms/op",,true,true,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbJni.write","sample",1,57,158.151015,11.509041,"ms/op",,true,false,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,41,213.596210,20.193908,"ms/op",,true,false,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJni.write","sample",1,59,148.171342,10.832837,"ms/op",,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,43,206.148822,15.907539,"ms/op",,true,false,1000000,true,false,false,100,false
