1             2     3          4          5       6                    7          8             9                    10             11                 12                13             14              15                 16             17
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: batchSize","Param: forceSafe","Param: intKey","Param: metaSync","Param: num","Param: sequential","Param: sync","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,260,35.156913,1.435849,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,149,62.371359,3.217649,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,242,37.617122,1.644269,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,155,59.792932,2.741097,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,207,44.374837,1.956349,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,142,65.188013,3.901783,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,200,45.714309,2.083690,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,136,69.329860,3.684155,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,136,68.624384,3.367625,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,101,94.039618,5.183583,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,139,68.146124,3.157781,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,95,99.578848,5.499949,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,62,145.384217,12.206338,"ms/op",,,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,16,839.319552,99.934996,"ms/op",,,true,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,9,1184.308338,178.476098,"ms/op",,,false,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,9,2038.431744,218.772855,"ms/op",,,false,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,100,94.762435,4.812562,"ms/op",,false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,71,131.337836,8.389740,"ms/op",,false,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,68,141.654136,9.269178,"ms/op",,false,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,55,182.619043,12.459248,"ms/op",,false,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,91,103.244406,6.459059,"ms/op",,false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,18,721.420288,103.772608,"ms/op",,false,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,9,1145.044992,207.124979,"ms/op",,false,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,9,2013.498937,252.156490,"ms/op",,false,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,275,33.428484,1.354866,"ms/op",,false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,151,61.818243,2.617986,"ms/op",,false,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,257,35.606576,1.415027,"ms/op",,false,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,142,66.213975,2.338806,"ms/op",,false,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,219,41.846083,2.110275,"ms/op",,false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,126,73.103327,3.877010,"ms/op",,false,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,199,46.695553,2.237427,"ms/op",,false,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,124,75.113769,4.005528,"ms/op",,false,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,121,76.723699,4.397902,"ms/op",,false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,96,98.417323,6.569061,"ms/op",,false,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,126,73.359750,3.828504,"ms/op",,false,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,90,106.232400,6.071809,"ms/op",,false,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,56,157.747493,13.928689,"ms/op",,,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,13,840.473994,115.548907,"ms/op",,,true,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,9,1154.831701,188.374033,"ms/op",,,false,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,9,2003.246194,290.525704,"ms/op",,,false,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,71,134.097733,8.015433,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,64,147.685376,6.304282,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,65,149.887890,9.584374,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,56,173.969993,10.850788,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,85,112.316368,5.301561,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,18,688.331890,100.136187,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,9,1217.280228,177.829806,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,9,2009.304633,239.947855,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,297,30.578502,1.220263,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,145,64.061666,2.758258,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,305,30.069743,1.099528,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,143,65.162949,3.502570,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,216,42.433650,1.834513,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,134,69.294539,3.924060,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,235,39.072145,1.800728,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,128,72.306176,3.480523,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,147,63.240457,2.961877,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,100,94.270915,6.029627,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,143,64.261943,2.674690,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,105,89.795555,4.324715,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,60,144.808346,11.470254,"ms/op",,,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,12,901.775360,135.720161,"ms/op",,,true,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,9,1118.481067,137.937086,"ms/op",,,false,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,9,2091.326578,311.884215,"ms/op",,,false,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.MapDb.readCrc","sample",1,52,180.592010,9.347083,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readCrc","sample",1,54,180.981305,14.664128,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readCrc","sample",1,46,207.857397,13.393787,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readCrc","sample",1,46,214.576262,13.557053,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readKey","sample",1,9,9486.583580,2017.272445,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readKey","sample",1,9,10364.591218,660.700628,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readKey","sample",1,9,8869.554859,737.612687,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readKey","sample",1,9,12266.009031,724.490002,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readRev","sample",1,82,118.835949,10.070685,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readRev","sample",1,83,115.818693,5.899522,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readRev","sample",1,80,118.844621,7.076634,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readRev","sample",1,76,126.125757,9.092371,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readSeq","sample",1,82,115.734978,8.995475,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readSeq","sample",1,88,108.022691,6.812482,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readSeq","sample",1,80,117.873050,7.077034,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readSeq","sample",1,81,116.623335,10.670464,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readXxh64","sample",1,67,144.478514,9.868082,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readXxh64","sample",1,67,139.353012,10.811259,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readXxh64","sample",1,62,156.051786,10.545693,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readXxh64","sample",1,68,144.693850,7.421739,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.write","sample",1,9,8959.033344,909.197685,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.write","sample",1,9,8827.611819,1018.418095,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.write","sample",1,9,12258.552491,1934.974098,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.write","sample",1,9,12172.802276,1276.891186,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readCrc","sample",1,18,566.085404,52.859476,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readCrc","sample",1,18,565.619371,36.586909,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readCrc","sample",1,18,740.702436,77.076518,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readCrc","sample",1,18,690.603804,53.213312,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readKey","sample",1,9,7764.122738,255.212187,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readKey","sample",1,9,8811.766670,603.526271,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readKey","sample",1,9,1810.774244,280.019137,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readKey","sample",1,9,10703.863808,527.443171,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readRev","sample",1,18,587.319068,42.884161,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readRev","sample",1,18,608.756622,61.829500,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readRev","sample",1,18,712.973426,72.208759,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readRev","sample",1,18,697.943836,61.248330,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readSeq","sample",1,24,482.170197,34.596470,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readSeq","sample",1,24,473.038848,29.962956,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readSeq","sample",1,18,606.717724,54.128004,"ms/op",,,false,,1000000,true,,false,100,
